17:14:58 - game started
17:15:00 - loading in new level
17:15:01 - projectile shot
17:15:02 - ball hit
17:15:02 - ball splits
17:15:02 - projectile shot
17:15:02 - projectile shot
17:15:03 - player died
17:15:04 - projectile shot
17:15:04 - ball hit
17:15:04 - ball splits
17:15:05 - projectile shot
17:15:05 - ball hit
17:15:07 - projectile shot
17:15:07 - ball hit
17:15:07 - next level
17:15:07 - loading in new level
17:15:08 - projectile shot
17:15:09 - ball hit
17:15:09 - ball splits
17:15:09 - projectile shot
17:15:09 - ball hit
17:15:09 - ball splits
17:15:10 - projectile shot
17:15:10 - ball hit
17:15:12 - projectile shot
17:15:12 - ball hit
17:15:12 - ball splits
17:15:13 - projectile shot
17:15:13 - ball hit
17:15:14 - projectile shot
17:15:14 - ball hit
17:15:15 - player died
17:15:15 - projectile shot
17:15:16 - projectile shot
17:15:17 - ball hit
17:15:17 - ball splits
17:15:17 - projectile shot
17:15:18 - projectile shot
17:15:18 - ball hit
17:15:18 - ball splits
17:15:18 - projectile shot
17:15:19 - ball hit
17:15:19 - projectile shot
17:15:20 - projectile shot
17:15:20 - ball hit
17:15:20 - ball splits
17:15:21 - projectile shot
17:15:21 - ball hit
17:15:23 - projectile shot
17:15:23 - ball hit
17:15:25 - projectile shot
17:15:25 - ball hit
17:15:25 - next level
17:15:25 - loading in new level
17:15:25 - projectile shot
17:15:26 - projectile shot
17:15:26 - ball hit
17:15:26 - ball splits
17:15:26 - projectile shot
17:15:27 - ball hit
17:15:27 - ball splits
17:15:27 - projectile shot
17:15:27 - ball hit
17:15:27 - projectile shot
17:15:28 - ball hit
17:15:28 - projectile shot
17:15:30 - projectile shot
17:15:30 - ball hit
17:15:30 - projectile shot
17:15:31 - ball hit
17:15:31 - next level
17:15:31 - loading in new level
